Rank	Poet	Betweenness Centrality	Betweenness Centrality (legible)	Clergy?
	Pei Yanyu 裴廷裕	0	0.00	No
	Li Zhaoxiang 李昭象	0	0.00	No
	Lu Xisheng 陸希聲	0	0.00	No
	Wang Huan 王渙	0	0.00	No
	Wang Jia 王駕	0	0.00	No
	Zhang Shu 張曙	0	0.00	No
	Yin Wengui 殷文圭	0	0.00	No
	Yu Tanzhi 喻坦之	0	0.00	No
	Pei Yue 裴說	0	0.00	No
	Luo Gun 羅袞	0	0.00	No
	Li Fang 李昉	0	0.00	No
	Han Xizai 韓熙載	0	0.00	No
	Li Zhong 李中	0	0.00	No
	Bao Ying 包穎	0	0.00	No
	Han Dingci 韓定辭	0	0.00	No
	Li Jiaming 李家明	0	0.00	No
	Ma Yu 馬彧	0	0.00	No
	Sun Xian 孫峴	0	0.00	No
	Wang Yi 王沂	0	0.00	No
	Xiao Yu 蕭彧	0	0.00	No
	Xie Zhongxuan 謝仲宣	0	0.00	No
	Zhong Mo 鍾謨	0	0.00	No
	Meng Guan 孟貫	0	0.00	No
	Wang Kai 王鍇	0	0.00	No
	Zhang Ge 張格	0	0.00	No
	Zhou Xiang 周庠	0	0.00	No
	Liu Xisou 劉羲叟	0	0.00	No
	Xu Guangpu 徐光溥	0	0.00	No
	Wang Yuan 王元	0	0.00	No
	Weng Hong 翁宏	0	0.00	No
	Yang Huizhi 楊徽之	0	0.00	No
	Wang Yanbin 王延彬	0	0.00	No
	Taoguang 韜光	0	0.00	Buddhist
	Guiren 歸仁	0	0.00	Buddhist
	Chumo 處默	0	0.00	Buddhist
	Qiankang 乾康	0	0.00	Buddhist
	Tanyu 曇域	0	0.00	Buddhist
	Kuangbai 匡白	0	0.00	Buddhist
	Bai Juyi 白居易	0	0.00	No
	Jiang Wei 江為	0	0.00	No
	Li Ying 李郢	0	0.00	No
	Meng Jiao 孟郊	0	0.00	No
	Bianguang 辯光	0	0.00	Buddhist
	Boyan 柏巖	0	0.00	Buddhist
	Chuyun 楚雲	0	0.00	Buddhist
	Congyi 從益	0	0.00	Buddhist
	Daoguang 道光	0	0.00	Buddhist
	Ensai 圓載	0	0.00	Buddhist
	Gaoxian 高閑	0	0.00	Buddhist
	Guangli 廣利	0	0.00	Buddhist
	Jiaoran 皎然	0	0.00	Buddhist
	Jingxuan 景玄	0	0.00	Buddhist
	Lingche 靈澈	0	0.00	Buddhist
	Lingying 靈應	0	0.00	Buddhist
	Moran 默然	0	0.00	Buddhist
	Qianzhou 乾晝	0	0.00	Buddhist
	Qingyue 清越	0	0.00	Buddhist
	Sengche 僧徹	0	0.00	Buddhist
	Shaoming 紹明	0	0.00	Buddhist
	Sheng 昇	0	0.00	Buddhist
	Wenxiu 文秀	0	0.00	Buddhist
	Wukong 悟空	0	0.00	Buddhist
